Nr;Navn;Antal;procent;årstal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Josefine;419;14;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Sofia;394;13;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Alberte;392;13;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;Clara;391;13;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Liva;372;12;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Victoria;372;12;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Julie;355;12;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Emilie;352;11;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Karla;334;11;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;Olivia;333;11;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;Frida;327;11;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;Alma;307;10;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;Marie;302;10;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;Mille;288;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;Amalie;272;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;Nanna;266;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;Ella;265;9;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;Cecilie;257;8;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;Malou;238;8;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Signe;235;8;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;Nicoline;228;7;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;Katrine;210;7;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;Astrid;205;7;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;Naja;203;7;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;Tilde;198;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;Frederikke;194;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;Silje;192;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;Celina;183;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;Silke;182;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;Johanne;176;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;Andrea;174;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;Filippa;172;6;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
